"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.10875040472754e-06,0.356592903282472,0.36,0.184,0.0152054030504335,"FCGR3A+ Mono","PFDN2"
1.24343946708634e-06,0.399810497950815,0.526,0.298,0.017052528851622,"FCGR3A+ Mono","RAB7A"
1.38010992463715e-06,0.524932710316834,0.274,0.127,0.0189268275064738,"FCGR3A+ Mono","TMC6"
1.42544863131013e-06,0.629297540514926,0.337,0.167,0.0195486025297871,"FCGR3A+ Mono","SNRPD3"
1.4319103308913e-06,0.390920298739323,0.269,0.123,0.0196372182778433,"FCGR3A+ Mono","PMAIP1"
1.59275672292624e-06,0.39575534188105,0.36,0.177,0.0218430656982105,"FCGR3A+ Mono","MYH9"
1.664440873578e-06,0.442810386125225,0.491,0.267,0.0228261421402487,"FCGR3A+ Mono","NDUFV2"
1.66785491588454e-06,0.680454647754146,0.263,0.122,0.0228729623164406,"FCGR3A+ Mono","NAPA"
1.67806910088291e-06,0.322698539314253,0.314,0.151,0.0230130396495082,"FCGR3A+ Mono","OTUB1"
1.77392333034289e-06,0.678632946529679,0.446,0.241,0.0243275845523224,"FCGR3A+ Mono","TCF25"
1.83489803047138e-06,0.434980846752943,0.383,0.19,0.0251637915898846,"FCGR3A+ Mono","SHFM1"
1.87397125532679e-06,0.43654003262302,0.291,0.137,0.0256996417955517,"FCGR3A+ Mono","CHCHD5"
1.93945851205598e-06,0.532763662352073,0.343,0.17,0.0265977340343358,"FCGR3A+ Mono","MIEN1"
1.95358387769562e-06,0.277950755237175,0.429,0.229,0.0267914492987177,"FCGR3A+ Mono","RASGRP2"
1.9556739748152e-06,0.401139680852917,0.834,0.546,0.0268201128906157,"FCGR3A+ Mono","ATP6V0E1"
2.18615616767058e-06,0.591838019334684,0.251,0.114,0.0299809456834343,"FCGR3A+ Mono","UBE2E3"
2.51289073778557e-06,0.305003017744431,0.514,0.271,0.0344617835779913,"FCGR3A+ Mono","NDUFB7"
2.6375092925494e-06,0.940104074165938,0.331,0.171,0.0361708024380224,"FCGR3A+ Mono","ADAR"
2.77717073221615e-06,0.560808690299248,0.263,0.123,0.0380861194216123,"FCGR3A+ Mono","RP11-347P5.1"
2.90809413710912e-06,0.449343788675484,0.251,0.114,0.0398816029963145,"FCGR3A+ Mono","SASH3"
2.9133075823552e-06,0.273979913178894,0.309,0.152,0.0399531001844193,"FCGR3A+ Mono","CCDC115"
2.98368531117256e-06,0.532715022775828,0.389,0.205,0.0409182603574205,"FCGR3A+ Mono","PSMB2"
3.27813451156793e-06,0.462606434699077,0.526,0.285,0.0449563366916426,"FCGR3A+ Mono","SELT"
